"","fips","state","county","ibclc_rate","bf_pct","im_rate","la_leche_count","baby_friendly_count","wic_site_count","la_leche_in_county","baby_friendly_in_county","wic_site_in_county","rucc","svi"
"71","13143","GA","Haralson",4.15,72.7,0,1,1,4,"Y","Y","Y",1,54.27
"72","13145","GA","Harris",6.6,85.2,0,1,1,4,"Y","Y","Y",2,13.41
"73","13147","GA","Hart",0,74,0,1,1,1,"Y","Y","Y",6,71.94
"74","13149","GA","Heard",3.75,72.7,0,0,0,3,"N","N","Y",1,72.32
"75","13151","GA","Henry",3.37,84.6,13.9,6,3,7,"Y","Y","Y",1,31.37
"76","13153","GA","Houston",0.74,81.1,20.8,0,0,3,"N","N","Y",3,56.69
"77","13155","GA","Irwin",13.57,69.7,0,0,1,2,"N","Y","Y",7,84.08
"78","13157","GA","Jackson",10.86,90,13.7,1,1,11,"Y","Y","Y",4,35.16
"79","13159","GA","Jasper",16.67,75.7,0,1,0,3,"Y","N","Y",1,69.27
"80","13161","GA","Jeff Davis",5.18,59.9,0,0,0,1,"N","N","Y",7,93.73
"81","13163","GA","Jefferson",2.63,76,0,1,1,1,"Y","Y","Y",6,94.39
"82","13165","GA","Jenkins",0,69.5,0,0,0,1,"N","N","Y",6,82.83
"83","13167","GA","Johnson",9.39,58.5,0,0,0,0,"N","N","N",7,90.61
"84","13169","GA","Jones",3.56,77.7,0,0,0,1,"N","N","Y",3,37.93
"85","13171","GA","Lamar",9.13,64.6,0,1,0,3,"Y","N","Y",1,49.17
"86","13173","GA","Lanier",0,69.8,0,1,0,0,"Y","N","N",3,86.97
"87","13175","GA","Laurens",1.59,64.1,9.6,0,0,0,"N","N","N",5,80.13
"88","13177","GA","Lee",4.24,48.8,14,1,0,3,"Y","N","Y",3,35.19
"89","13179","GA","Liberty",0,86.6,11.3,0,2,0,"N","Y","N",3,88.82
"90","13181","GA","Lincoln",0,69.6,0,0,0,0,"N","N","N",2,55.64
"91","13183","GA","Long",0,80.7,0,0,0,0,"N","N","N",3,82.71
"92","13185","GA","Lowndes",0,70,21,1,0,1,"Y","N","Y",3,86.62
"93","13187","GA","Lumpkin",13.77,94.8,0,1,0,1,"Y","N","Y",6,43.38
"94","13189","GA","McDuffie",11.19,60.6,0,1,1,0,"Y","Y","N",2,93.76
